recipe_tag	coefficient
masa	0.06981273827443667
mayonnaise	0.00563221990218412
meal	-0.005167165556030828
mealprep	-0.020303798262930963
meat	-0.005402159243447141
meatsauce	0.1416009593152918
mexican	0.03514083680019879
mexicancuisine	0.047169059667036106
mexicanfood	0.02221089808943724
middleeastern	0.006654964230282996
miso	0.03376736445063482
muffins	-0.020303798262930963
mushroom	0.18746423371186857
mushrooms	0.03376736445063482
nachos	-0.005562071118852242
noodles	0.007330657546144485
noodlesoup	0.03376736445063482
nori	0.010126227583178594
numbing	-0.03138508084780449
nutmeg	0.010910717355042872
oat	0.0018974948333790737
oats	-0.02012555016504689
onion	0.0033763885705732
onions	-0.023167936750483373
onthego	0.010126227583178594
oven	-0.014067457193841353
oysters	-0.07582117098016677
pacificislands	0.00563221990218412
pancakes	-0.016563005948998254
parmesan	0.0291227463153937
partyfood	0.005942672261341911
pasta	-0.03585684766865449
pastasauce	0.1416009593152918
pastry	-0.02379986127165115
pastrycrust	0.04437516722286905
peach	-0.010387723277194682
peanutbutter	-0.1452766193943797
peanutdressing	0.00891913881524063
peanuts	0.01514721572646105
peppers	-0.0219600105326281
pickledvegetables	0.0394126577573506
pie	0.03267482808868007
piecrust	0.006780116191088817
pork	0.01514721572646105
porkbelly	0.03376736445063482
potatoes	0.1584240945365649
protein	-0.020303798262930963
puffpastry	-0.014067457193841353
quiche	0.053153088823240685
quick	-0.04014038341655694
ramen	0.03376736445063482
refreshing	-0.011439707819560588
relish	-0.0007672993805597279
rhubarb	-0.011439707819560588
rice	0.010126227583178594
ricevinegar	0.07101011157455536
rich	0.09044909421202323
ricotta	-0.05419447195820357
salad	0.0039013576286161308
salsa	0.0470209858998687
salty	-0.00436209803286472
sandwich	0.002394730513729178
sauce	-0.0007672993805597236
savory	0.0299100860338523
scallions	0.008694569171215357
scallops	-0.030082480984373976
seafood	-0.07344291685250784
sesame	-0.0019787961923641325
sesameoil	0.07101011157455536
sesameseeds	0.07101011157455536
shrimp	0.030684335716452727
sichuancuisine	-0.016237865121343436
sichuanpeppercorns	0.008694569171215357
sidedish	0.02793678523807773
sidedishes	0.012452883935721998
skewers	0.030684335716452727
smoky	-0.06725024533491065
snack	0.04305976508728134
snacks	0.013670001796949235
sobanoodles	-0.013958574743633123
soft	0.008018474855178002
souffle	-0.023070247559018098
soup	-0.0040613625923722535
sourcream	-0.019619564220742774
southern	0.0021332661336844637
southerncuisine	-0.07582117098016677
soysauce	0.03649331089910786
spam	0.015758447485362714
spices	-0.021175370661362193
spicy	0.01510212289441415
spicyfood	0.023089022551072525
spinach	-0.03274506627488328
spring	0.16578664483835434
steamed	0.06981273827443667
stirfry	-0.024932434292558793
strawberry	-0.011439707819560588
streetfood	0.009518035077198873
stuffedpeppers	0.023089022551072525
summer	-0.0027968904659527883
sushi	0.010126227583178594
sweet	0.022617495161879858
sweetandsalty	-0.10495753646096279
sweetandsavory	-0.07587507975064342
sweettreat	-0.014262873348265355
taco	0.011166367070067941
tacos	0.0028630708469158783
tangy	-0.01297430658068004
tart	-0.0007672993805597236
tea	-0.00019541615442400168
tempura	0.008147762485505205
tender	0.0028513092991471747
texmex	-0.0219600105326281
thanksgiving	-0.0015345987611194516
toast	0.002394730513729178
tomato	-0.00636804806635901
tomatoes	0.0672094482491581
tomatosauce	0.0307508161123366
tortilla	-0.0012079262178552725
tortillabowl	0.011166367070067941
tortillachips	-0.01618414825669244
tortillas	0.13646408400393678
traditional	0.06981273827443667
twisted	-0.0067926275972896594
udonnoodles	0.008147762485505205
vanilla	0.030615990502584237
vanillaicecream	-0.02012555016504689
vegan	-0.039686412142176254
vegetables	0.09058430993663685
vegetarian	0.12016010529502763
warm	-0.014067457193841353
whippedcream	-0.02012555016504689
winter	0.01017199710020439
yeastdough	-0.0067926275972896594
